associativity,bubblesort,fft,matrix-mult
1,0.943817,0.859767,1.016469
2,0.940239,0.93656,1.085770
4,0.933852,0.929662,1.16884
8,0.948853,0.943662,1.205858
16,0.959853,0.979661,1.209889
